ヒット文字列,出現数,法令名,XML_Num属性,タグ名,文脈スニペット
十日,26764,海上法ノ要義ヲ確定スル為メ西暦千八百五十六年四月十六日巴里公会ニ於テ決定セシ宣言,1,Sentence,千八百五十六年三月三十日巴里条約ニ署名セル各全権委員ハ茲ニ会議ヲ
四年,25645,海底電信線保護万国連合条約ノ説明書,1,Sentence,明治十七年三月十四日（西暦千八百八十四年）ノ海底電信線保護万国連合条約ニ調印セシ
六年,25262,海上法ノ要義ヲ確定スル為メ西暦千八百五十六年四月十六日巴里公会ニ於テ決定セシ宣言,,LawTitle,海上法ノ要義ヲ確定スル為メ西暦千八百五十六年四月十六日巴里公会ニ於テ決定セシ宣言
十一,25197,民法施行法,9_1_11,ItemTitle,十一
十項,24961,明治三十二年勅令第二百七十七号（行旅病人死亡人等ノ引取及費用弁償ニ関スル件）,2,Sentence,十三号）附則第三項から第十項までに定めるところによる。
九号,23659,,,LawNum,明治二十二年閣令第十九号
八年,23426,明治八年太政官布告第五十四号（勲章制定ノ件）,3,Sentence,婦人の勲労ある者に瑞宝章を賜うの件（大正八年勅令第二百三十二号）は、廃止する。
一月,23276,明治五年太政官布告第三百三十七号（改暦ノ布告）,3_5,Sentence,一月大
二　,22957,刑法,,ChapterTitle,第十八章の二　支払用カード電磁的記録に関する罪
十二,22542,民法施行法,9_1_12,ItemTitle,十二
千円,22131,船舶法施行細則,51_3_2,Sentence,九千円
二以,20858,褒章条例取扱手続,4_1,Sentence,行賞ニ関シ二以上ノ地方長官具申スヘキ場合ニ於テハ関係地
十号,20409,,,LawNum,明治三十一年勅令第九十号
四の,19993,担保付社債信託法,1_1_4,Sentence,規定、同法第三十七条の四の見出し及び同条第一項の改正規定、同条第二
十三,19457,民法施行法,9_1_13,ItemTitle,十三
九年,18851,,,LawNum,明治十九年勅令
十一条,18624,明治十七年太政官布告第三十二号（爆発物取締罰則）,2_1,Sentence,に廃棄に関する条約等の実施に関する法律第十一条の規定、化学兵器の禁止及び特定物質の規制
十二条,17800,明治十七年太政官布告第三十二号（爆発物取締罰則）,1_1_1,Sentence,律（以下「組織的犯罪処罰法」という。）第十二条の改正規定、第二条及び第四条から第七条ま
一種,17692,民法,6_1,Sentence,一種又は数種の営業を許された未成年者は、その
十四,17264,民法施行法,9_1_14,ItemTitle,十四
一　,16925,関税定率法,,Sentence,一　サラブレッド種、サラブレッド系種、アラブ
十七条,16833,民法,13_1_10,Sentence,（未成年者、成年被後見人、被保佐人及び第十七条第一項の審判を受けた被補助人をいう。以下
二に,16735,明治十七年太政官布告第三十二号（爆発物取締罰則）,4_1,Sentence,新組織的犯罪処罰法第十二条（刑法第四条の二に係る部分に限る。）の規定、第二条の規定に
十三条,16672,砂防法施行規程,2_1,Sentence,ハ都道府県ノ条例ヲ以テ之ヲ定ム但シ同法第十三条及第十四条ニ規定シタル事項ハ之ヲ準用スル
十五条,16569,明治二十七年大蔵省令第二号（政府カ第三債務者トシテ差押ヘラレタル債務額ノ仕払停止仕払執行及供託ニ関スル手続）,16_1,Sentence,条ノ仕払停止解除ノ通知又ハ第十五条若ハ第十五条ノ二ノ仕払通知アルニアラサレハ仕払ヲ為ス
十五,16440,民法施行法,9_1_15,ItemTitle,十五
五の,16149,関税定率法,15_1_5_2,ItemTitle,五の二
二第,16014,担保付社債信託法,1_1_3,Sentence,第二十七条の三十の十、第二十七条の三十二第一項、第二十七条の三十四、第五十七条の二
十九条,16010,担保付社債信託法,21_1,Sentence,けて発行する場合における信託証書には、第十九条第一項第三号から第十二号までに掲げる事項
十四条,15458,外国法人の登記及び夫婦財産契約の登記に関する法律,7_1,Sentence,事件手続法第百六十三条第四項（同法第百六十四条第八項において準用する場合を含む。）の規
十六条,15142,担保付社債信託法,13_1,Sentence,る信託事業を専ら営む信託会社（次条から第十六条までにおいて「担保付社債専業信託会社」と
一に,14752,外国法人の登記及び夫婦財産契約の登記に関する法律,250_1,Sentence,いようにするとともに、新地方自治法別表第一に掲げるもの及び新地方自治法に基づく政令に
十八条,14487,明治二十七年大蔵省令第二号（政府カ第三債務者トシテ差押ヘラレタル債務額ノ仕払停止仕払執行及供託ニ関スル手続）,21_1,Sentence,知書ヲ金庫及政府ノ債権者ニ送付シタル上第十八条第十九条ノ手続ヲ為スヘシ
二月,14232,明治八年太政官布告第五十四号（勲章制定ノ件）,4,Sentence,明治八年二月
一人,14117,予定経費算出概則,2_1,Sentence,経費中其給与ニ属スルモノハ一人当リノ給額ヨリ積算シ又其物件ニ属スルモノ
十六,13942,民法施行法,9_1_16,ItemTitle,十六
二）,13659,民法,,ArticleRange,（第三条の二）
十万,13533,二十歳未満ノ者ノ喫煙ノ禁止ニ関スル法律,5_1,Sentence,知リテ煙草又ハ器具ヲ販売シタル者ハ五十万円以下ノ罰金ニ処ス
二種,13379,運河法施行規則,8_1,Sentence,構造図ハ左ノ二種トス
四月,13251,明治五年太政官布告第三百三十七号（改暦ノ布告）,3_5,Sentence,四月小
三　,12329,関税定率法,,Sentence,三　その他のもの
一）,12326,明治三十二年逓信省令第十九号（商法第七百九条ニ規定スル属具目録ノ書式ノ件）,1,ItemTitle,（一）
十七,12243,民法施行法,9_1_17,ItemTitle,十七
〇〇,11574,関税定率法,,Sentence,〇二〇五・〇〇
三十七条,11534,公証人法,35_1,Sentence,嘱託された場合にあっては、その代理人。第三十七条第二項、第四十条第三項及び第五十二条第二
六の,11525,関税定率法,14_1_6_2,ItemTitle,六の二
十八,11412,民法施行法,9_1_18,ItemTitle,十八
七の,11346,関税定率法,17_1_7_2,ItemTitle,七の二
二章,11283,民法,,ChapterTitle,第二章　人
三者,11258,砂防法,18_2,Sentence,義務者ノ履行スヘキ義務ヲ自ラ執行シ又ハ第三者ヲシテ執行セシメタルカ為ニ要シタル費用ハ
一節,11149,民法,,SectionTitle,第一節　権利能力
三章,10776,民法,,ChapterTitle,第三章　法人
七十二条,10679,健康保険法,70_1,Sentence,局において調剤に従事する保険薬剤師に、第七十二条第一項の厚生労働省令で定めるところにより
二節,10670,民法,,SectionTitle,第二節　意思能力
七十条,10359,公証人法,49_1,Sentence,所において、民法第九百六十九条から第九百七十条まで及び第九百七十二条に規定する遺言に係
十分,10282,明治六年太政官布告第六十五号（絞罪器械図式）,1,FigStructTitle,絞架全図　実物　六十分ノ一
六十八条,10258,健康保険法,5_2,Sentence,該指定の効力を有する期間は、健康保険法第六十八条第一項の規定にかかわらず、その病院又は診
十九,10106,民法施行法,9_1_19,ItemTitle,十九
二十五年,9685,明治二十七年勅令第二十三号（大婚二十五年祝典之章制定ノ件）,3_1,Sentence,雙鶴松ヲ銜ミ左右交架藤花ノ図、裏面ニ大婚二十五年祝典之章、大日本帝国、明治二十七年三月ノ
一章,9611,民法,,ChapterTitle,第一章　通則
二分,9469,明治二十二年勅令第百三号（帝国憲法発布記念章制定ノ件）,3_1,Sentence,幅一寸二分旭日桐花章ノ綬ヲ用フ
一定,9456,海上法ノ要義ヲ確定スル為メ西暦千八百五十六年四月十六日巴里公会ニ於テ決定セシ宣言,1,Sentence,ノ恐レアルコトヲ悟リ此緊要ナル事項ニ関シ一定ノ主義ヲ設クルノ利益アル事並ニ巴里公会ニ
百万,9086,船舶法,23_1,Sentence,禁刑又ハ百万円以下ノ罰金ニ処ス此場合ニ於テ船長ノ所有
四十二条,8961,工場抵当法,8_3,Sentence,登記ガ全部抹消セラレタル後若ハ抵当権ガ第四十二条ノ二第二項ノ規定ニ依リ消滅シタル後六箇月
二十五条,8890,工場抵当法,36_1,Sentence,ノ抵当権設定ノ登記ノ申請ハ不動産登記法第二十五条ニ掲ケタル場合ノ外第十条ノ期間ヲ経過シタ
三第,8845,商法,11_1,Sentence,七十四条ノ二十三第四項又は第四百十三条ノ三第四項に規定する公告又は通知がされた営業全
四十一条,8746,健康保険法,43_2_1,Sentence,ころにより保険者等に申出をしたときは、第四十一条の規定にかかわらず、育児休業等終了日の翌
三に,8600,関税定率法,15_1_5_2_1,Sentence,第十四条第三号の三に掲げるものを除き、博覧会等への参加者が、
四章,8524,民法,,ChapterTitle,第四章　物
四　,8517,関税定率法,,Sentence,四　その他のもの
二十七条,8482,船舶法,29_1,Sentence,用人其他ノ従業者船舶所有者ノ業務ニ関シ第二十七条ノ違反行為ヲ為シタルトキハ行為者ヲ罰スル
二十三年,8400,砂防法施行規程,1,Sentence,これを施行し、建設省設置法施行の日（昭和二十三年七月十日）から、これを適用する。
十の,8294,健康保険法,7_24_1,Sentence,第七条の二十の規定は、協会の役員及び職員について準用す
三節,8228,民法,,SectionTitle,第三節　行為能力
二十三条,8206,工場抵当法,28_1,Sentence,有権保存ノ登記ノ申請ヲ却下シタルトキハ第二十三条第一項ノ規定ニ依リテ為シタル記録ヲ抹消ス
二十四条,8192,工場抵当法,27_1_3,Sentence,其ノ権利ヲ申出テタル場合ニ於テ遅クトモ第二十四条第一項ノ期間満了後一週間内ニ其ノ申出ノ取
三）,8043,民法,,ArticleRange,（第八百十七条の十二・第八百十七条の十三）
二十条,8043,商法施行法,15_2,Sentence,ササリシ登記所ノ管轄区域内ニ於テハ商法第二十条ニ定メタル権利ヲ行フコトヲ得ス
十四年,7910,明治二十七年勅令第二十三号（大婚二十五年祝典之章制定ノ件）,4_1,Sentence,保存スルコトヲ許ス其ノ没収ニ関シテハ明治十四年第六十三号布告褒章条例ニ依ル
八の,7891,健康保険法,207_3_1_2,Sentence,第百五十条の八の規定による命令に違反したとき。
九月,7638,明治五年太政官布告第三百三十七号（改暦ノ布告）,3_5,Sentence,九月小
九の,7597,健康保険法,29_1,Sentence,第七条の三十八及び第七条の三十九の規定は、健康保険組合について準用する。
二十一条,7592,担保付社債信託法,23_2,Sentence,委託者及び受託会社は、次に掲げる事項を第二十一条第一項の信託証書に付記しなければならない
一を,7331,刑法,68_1_5,Sentence,拘留を減軽するときは、その長期の二分の一を減ずる。
二十二年,7322,明治二十二年勅令第百三号（帝国憲法発布記念章制定ノ件）,3_1,Sentence,ト高御座並大勲位菊花頸飾章ノ図裏面ニ明治二十二年二月十一日大日本帝国憲法発布記念章ノ二十
三十条,7215,商法施行法,19_1,Sentence,前ヨリ支配人又ハ支配役ト称スル者カ商法第三十条ニ定メタル権限ヲ有セサルトキハ主人ハ商法
二十八条,7142,鉄道抵当法,35_1,Sentence,土交通大臣ハ鉄道財団ノ用紙ヲ閉鎖スベシ第二十八条ノ三第四項ノ規定ニ依リ鉄道財団ニ関スル表
三十三条,7101,水害予防組合法,44_1,Sentence,ニ於テ管理者タル職務ヲ行フ為要スル費用第三十三条第四項ノ事務ヲ行フ為要スル費用及都道府県
二十二条,7098,外国法人の登記及び夫婦財産契約の登記に関する法律,5,Sentence,前項の規定による改正前の非訟事件手続法第二十二条に定める期間が現に進行しているものについ
五日,6944,砂防法施行規程,6_1,Sentence,具ノ供給ヲナサシメムトスルトキハ少クトモ五日前ニ其ノ供給セシムヘキ物件ノ種類、数量及
三十四条,6878,鉄道抵当法,92_1_5,Sentence,道財団目録ニ不正ノ記載ヲ為シタルトキ、第三十四条ノ届出ヲ為ササルトキ又ハ不正ノ届出ヲ為シ
六日,6763,明治五年太政官布告第三百三十七号（改暦ノ布告）,3_5,AppdxTableTitle,太陽暦　一年三百六十五日　閏年三百六十六日四年毎ニ置之
五章,6720,民法,,ChapterTitle,第五章　法律行為
十五年,6697,明治二十六年勅令第二百六十一号（政府ノ債務ニ対シ差押命令ヲ受クル場合ニ於ケル会計上ノ規程）,1,Sentence,この政令は、民事執行法の施行の日（昭和五十五年十月一日）から施行する。
三十五条,6621,民法施行法,1_3,Sentence,次に次のように加える改正規定、同法第二百三十五条第一項の改正規定（「まで」の下に「、第百
二十四年,6604,明治二十七年大蔵省令第二号（政府カ第三債務者トシテ差押ヘラレタル債務額ノ仕払停止仕払執行及供託ニ関スル手続）,2_1_1,Sentence,う国庫金の受入及び払渡に関する規則（昭和二十四年大蔵省令第六十号）
三分,6496,船舶法,1_1_3,Sentence,テ其代表者ノ全員及ビ業務ヲ執行スル役員ノ三分ノ二以上ガ日本国民ナルモノノ所有ニ属スル
四第,6467,商法,36_16,Sentence,て準用する場合を含む。）、第二百八十条ノ四第三項（新商法第二百八十条ノ二十五第三項及
十一年,6419,鉄道抵当法,38_2_2,Sentence,関の保有する情報の公開に関する法律（平成十一年法律第四十二号）ノ規定ハ鉄道抵当原簿及鉄
五　,6411,日本銀行政府有価証券取扱規程,36_1,Sentence,五　削除
六十六条,6314,国債証券買入銷却法,1_1,Sentence,十一条、第三十四条、第六十条第十二項、第六十六条第一項、第六十七条及び第九十三条第二項の
三十一条,6246,工場抵当法,37_1,Sentence,記官カ抵当権設定ノ登記ヲ為シタルトキハ第三十一条ノ規定ニ依リ効力ヲ失ヒタル登記ヲ抹消スヘ
四十条,6215,公証人法,37_2,Sentence,人及び当該通訳人又は当該証人）をいう。第四十条第一項、第三項及び第五項、第五十二条第二
四に,6130,健康保険法,7_1,Sentence,より算定されることとなる額の十二分の四に相当する額との合計額とする。
三十九条,6115,公有水面埋立法,41_2_1,Sentence,他ノ従業員ガ其ノ法人又ハ人ノ業務ニ関シ第三十九条乃至前条ニ規定スル違反行為ヲ為シタルトキ
四節,6079,民法,,SectionTitle,第四節　住所
五万,6030,商法,9_2,Sentence,いう。）附則第十六条第一項の規定により五万円を額面株式一株の金額で除して得た数を一
四十四条,5999,工場抵当法,8_3,Sentence,ル抵当権ノ設定ノ登記ヲ受ケザルトキ又ハ第四十四条ノ二ノ規定ニ依ル登記ヲ為シタルトキハ消滅
二款,5969,民法,,SubsectionTitle,第二款　相隣関係
十八年,5926,担保付社債信託法,4_1,Sentence,機関の信託業務の兼営等に関する法律（昭和十八年法律第四十三号。以下「兼営法」という。）
二十六年,5914,明治二十七年大蔵省令第二号（政府カ第三債務者トシテ差押ヘラレタル債務額ノ仕払停止仕払執行及供託ニ関スル手続）,5_1,Sentence,金供託金ヲ仕払フトキハ差押債権者ヨリ明治二十六年大蔵省令第十九号第九条ノ領収証書（差押債
一款,5900,民法,,SubsectionTitle,第一款　所有権の内容及び範囲
四十五条,5822,担保付社債信託法,70_1,Sentence,算人若しくは破産管財人、代表社債権者、第四十五条第一項の特別代理人又は外国会社の代表者を
十七年,5776,水難救護法,1_1,Sentence,に伴う関係法律の整備等に関する法律（平成十七年法律第百二号）附則第二条第一項、第四十九
百条,5769,商法,,ArticleRange,（第二十七条―第五百条）
四十三条,5766,鉄道抵当法,45_3,Sentence,スル電子決定書ニハ申立人ノ名称、住所及第四十三条第二項第一号乃至第四号ニ掲ケタル事項ヲ記
十歳,5742,二十歳未満ノ者ノ喫煙ノ禁止ニ関スル法律,,LawTitle,二十歳未満ノ者ノ喫煙ノ禁止ニ関スル法律
十三年,5600,船舶法,21_1,Sentence,規程ハ小型船舶の登録等に関する法律（平成十三年法律第百二号）及ビ之ニ基キテ発スル命令ニ
四）,5569,民法,,ArticleRange,（第二百六十四条の九―第二百六十四条の十四）
五十七条,5516,担保付社債信託法,50_2,Sentence,項の規定により読み替えて適用する信託法第五十七条第一項の規定により辞任するときは、信託事
一級,5510,健康保険法,40_1,Sentence,第一級
十月,5485,明治五年太政官布告第三百三十七号（改暦ノ布告）,3_5,Sentence,十月大
二人,5455,商法,3_2,Sentence,当事者の一方が二人以上ある場合において、その一人のために商
二十九条,5376,公証人法,52_5,Sentence,はその謄本に認証を与える場合について、第二十九条から第三十一条まで、第三十三条及び第三十
二十六条,5329,民法施行法,1_1,Sentence,信用事業の再編及び強化に関する法律附則第二十六条第一項の改正規定並びに第百二十四条及び第
五に,5163,恩給法,1_1,Sentence,項中附則別表第五に係る部分並びに附則別表第二及び第五の改正
三十八条,5152,鉄道抵当法施行規則,2,Sentence,この省令の施行前に請求された鉄道抵当法第三十八条第一項の鉄道抵当原簿又は鉄道財団目録の謄
二十,5067,民法施行法,9_1_20,ItemTitle,二十
二日,5025,明治五年太政官布告第三百三十七号（改暦ノ布告）,3_5,Sentence,九月十二日
十二年,5021,鉄道抵当法施行規則,2,Sentence,出した者は、前項の規定にかかわらず、平成十二年三月三十一日までは、なお旧様式によること
五歳,5014,民法,791_3,Sentence,子が十五歳未満であるときは、その法定代理人が、これ
六章,4977,民法,,ChapterTitle,第六章　期間の計算
三級,4965,健康保険法,40_1,Sentence,第三級
十九年,4896,供託法,1,Sentence,この法律は、商業登記法の施行の日（昭和三十九年四月一日）から施行する。
一体,4879,工場抵当法,2_1,Sentence,権ハ建物ヲ除クノ外其ノ土地ニ附加シテ之ト一体ヲ成シタル物及其ノ土地ニ備附ケタル機械、
二輪,4852,工場抵当法,13_2_1,Sentence,動車及二輪ノ小型自動車以外ノモノ（以下自動車ト称ス
九万,4810,健康保険法,7_1,Sentence,該標準報酬月額の基礎となった報酬月額が九万三千円以上である者を除く。）又は九十八万
十六年,4806,担保付社債信託法,4_1,Sentence,務を営むものに限る。）又は信託業法（平成十六年法律第百五十四号）第三条若しくは第五十三
千万,4787,砂防法施行規程,11_1_1,Sentence,ニ施行スル工事ニシテ之ニ要スル費用ノ額ガ千万円以上ノモノ
六十五条,4751,健康保険法,63_3_1,Sentence,大臣の指定を受けた病院若しくは診療所（第六十五条の規定により病床の全部又は一部を除いて指
五第,4708,商法,16_1,Sentence,この法律の施行前に旧商法第二百九十三条ノ五第一項の決議があった場合におけるその決議に
六　,4688,日本銀行政府有価証券取扱規程,36_1,Sentence,六　某月政府有価証券受払計算書
二級,4685,健康保険法,40_1,Sentence,第二級
二十年,4620,商法,16_1,Sentence,域内においては、その営業を譲渡した日から二十年間は、同一の営業を行ってはならない。
五十三条,4608,鉄道抵当法,58_1_4,Sentence,若ハ最低競売価額ニ達スル入札ナキコト並第五十三条第二項又ハ第三項ノ手続ヲ為シタルコト
五十二条,4606,担保付社債信託法,1_1_4,Sentence,等の禁止」を加える部分を除く。）、同法第五十二条の二の五の改正規定（「に対する誠実義務」
二（,4589,関税定率法,19_2_5,Sentence,貨物について、同法第三十四条の二（記帳義務）の規定は前三項の規定の適用を受
三款,4560,民法,,SubsectionTitle,第三款　不動産の先取特権
二十八年,4528,水害予防組合職員賠償責任及身元保証令,1_1,Sentence,の政令は、行政不服審査法の施行の日（平成二十八年四月一日）から施行する。
三十二条,4504,民法施行法,1_3,Sentence,関する法律第四条の改正規定（「並びに第百三十二条」を「、第百三十二条から第百三十七条まで
五月,4471,歳入歳出予算概定順序,1_1,Sentence,務管理庁ハ毎年度歳入概算書ヲ調製シ前年度五月三十一日マテニ之ヲ大蔵大臣ニ送付スヘシ
七十四条,4438,鉄道抵当法,16_2,Sentence,民法（明治二十九年法律第八十九号）第三百七十四条ノ規定ハ抵当権ノ順位ノ変更ニ付之ヲ準用ス
三十一日,4426,供託法,15_1,Sentence,昭和五十七年四月一日ヨリ昭和六十六年三月三十一日マデノ間ノ利息ハ第三条ノ規定ニ拘ラズ之ヲ
十円,4419,商法施行法,27_1,Sentence,五円以上五十円以下ノ過料ニ処セラル
五十四条,4327,国債規則,40_10_1,Sentence,ハ質権及質権ニ非ザル担保ニ付民事保全法第五十四条ニ於テ準用スル同法第五十三条第一項ノ規定
三十六条,4312,担保付社債信託法,34_2,Sentence,前項第二号の代表社債権者は、会社法第七百三十六条第一項の規定により委任された事項を、自ら
八十一条,4305,健康保険法,159_2_1,Sentence,業所の事業主から保険料、厚生年金保険法第八十一条に規定する保険料（以下「厚生年金保険料」
千分,4296,健康保険法,153_1,Sentence,基準として政令で定める額を控除した額）に千分の百三十から千分の二百までの範囲内におい
二十七年,4295,鉄道抵当法施行規則,2,Sentence,出した者は、前項の規定にかかわらず、昭和二十七年六月三十日までは、なお改正前の同様式によ
一元,4255,健康保険法,2_4_1,Sentence,ある社会保険及び労働保険に係る徴収事務の一元化
三ま,4249,民法施行法,1_3,Sentence,「第十七条から」の下に「第十九条の三まで、第二十一条から」を加え、「第十五号及
四十六条,4248,民法施行法,1_3,Sentence,削る部分及び「読み替える」を「、同法第百四十六条の二中「商業登記法（」とあるのは「金融商
二十九年,4244,商法,1_2,Sentence,習に従い、商慣習がないときは、民法（明治二十九年法律第八十九号）の定めるところによる。
五）,4203,民法,,ArticleRange,（第四百二十四条―第四百二十四条の五）
四十八条,4141,担保付社債信託法,39_1,Sentence,民法（明治二十九年法律第八十九号）第三百四十八条及び第三百七十六条（抵当権又はその順位の
六十年,4110,砂防法,2,Sentence,以下この項において同じ。）又は補助（昭和六十年度以前の年度における事務又は事業の実施に
八月,4104,明治五年太政官布告第三百三十七号（改暦ノ布告）,3_5,Sentence,八月大
二週,4097,商法施行法,20_2,Sentence,カ商法施行前ニ前項ノ行為ヲ知リタルトキハ二週間ノ期間モ亦其施行ノ日ヨリ之ヲ起算ス
六十一条,4095,刑法,2_1_5,Sentence,によって作られるべき電磁的記録に係る第百六十一条の二（電磁的記録不正作出及び供用）の罪
一万,3986,明治三十八年法律第六十六号（外国ニ於テ流通スル貨幣紙幣銀行券証券偽造変造及模造ニ関スル法律）,3_2,Sentence,但シ一万円以下ニ降スコトヲ得ス
一及,3960,外国法人の登記及び夫婦財産契約の登記に関する法律,1_1_1:2,ItemTitle,一及び二
五十五条,3956,健康保険法,128_1,Sentence,下この条において同じ。）の規定若しくは第五十五条第一項に規定する法令の規定又は介護保険法
六十四条,3924,民法施行法,1_1_3,Sentence,附則第二百六十条、第二百六十二条、第二百六十四条、第二百六十五条、第二百七十条、第二百九
三十日,3916,公証人法,19_3,Sentence,ヲ受ケタルトキハ其ノ命令ヲ受ケタル日ヨリ三十日以内ニ其ノ不足額ヲ補充スヘシ
二」,3870,外国法人の登記及び夫婦財産契約の登記に関する法律,1_2,Sentence,法律第五十八条の改正規定（「第十九条の二」の下に「、第十九条の三、第二十一条」を加
七　,3857,船員保険法施行規則,21_1,Sentence,七　胃
一方,3852,日本国及希臘国間修好通商航海条約,2_1,Sentence,国ニ駐留セシムルコトヲ得ヘシ又両締盟国ノ一方ハ他ノ一方ノ領土及所属地ニ於テ最恵国領事
五十条,3713,砂防法施行規程,12_4,Sentence,政状況ヲ勘案シ相当ト認ムルトキハ砂防法第五十条第一項又ハ第二項ニ依ル貸付金ノ全部又ハ一
六十九条,3697,鉄道抵当法,91_2,Sentence,場合ヲ除クノ外強制管理ノ取消ニ関シテハ第六十九条ノ規定ヲ準用ス
一回,3650,民法,98_2,Sentence,、その掲示があったことを官報に少なくとも一回掲載して行う。
六に,3563,船舶安全法,25_53_1,Sentence,六において「財務諸表等」という。）を作成し、
三十年,3562,砂防法施行規程,12_2,Sentence,係る予算の執行の適正化に関する法律（昭和三十年法律第百七十九号）第六条第一項ニ依ル貸付
